CAD,6:00 - 9:45,0,,0,8:00 - 12:15,0,,0,1,1,1,0,0,0,0,,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
CGW,,0,,0,,0,,0,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,03333 211 202
CPH,6:45 - 17:45,0,,0,8:00 - 17:45,0,,0,1,1,1,0,0,0,0,,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,03333 211 202
CWS,,0,,0,,0,,0,0,1,1,0,0,0,0,,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,03333 211 202
CDT,,0,,0,,0,,0,0,0,0,0,0,0,0,,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
CDB,,0,,0,,0,,0,0,1,1,0,0,0,0,,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
CDF,,0,,0,,0,7:45 - 21:30,0,1,1,1,0,0,0,0,,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,03333 211 202
CDQ,7:00 - 20:00,0,,0,8:00 - 21:00,0,10:00 - 17:30,0,1,1,1,0,0,0,0,,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,03333 211 202
CMN,6:45 - 18:00,0,,0,8:00 - 18:00,0,10:15 - 17:45,0,1,1,1,0,0,0,0,,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,03333 211 202
CYS,7:00 - 19:00,0,,0,9:30 - 15:30,0,,0,1,1,1,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
CYB,,0,,0,,0,,0,0,0,0,0,0,0,0,,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
CPW,6:30 - 11:00,0,,0,6:30 - 11:00,0,,0,1,1,0,0,0,0,0,,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,03333 211 202
CTR,5:45 - 23:00,0,,0,6:30 - 22:30,0,7:30 - 22:00,0,1,1,1,0,0,0,0,,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,03333 211 202
CRK,,0,,0,,0,,0,0,0,0,0,0,0,0,,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
CTT,,0,,0,,0,,0,0,1,1,0,0,0,0,,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
CIM,,0,,0,,0,,0,0,0,0,0,0,0,0,,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
CLR,,0,,0,,0,,0,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,03333 211 202
CUW,,0,,0,,0,,0,0,0,0,0,0,0,0,,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,03333 211 202
CGN,,0,,0,,0,,0,0,1,1,0,0,0,0,,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
CWB,6:15 - 19:15,0,,0,6:15 - 19:15,0,11:15 - 18:15,0,1,1,1,0,0,0,0,,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,03333 211 202
CNW,,0,,0,,0,,0,0,0,0,0,0,0,0,,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
COY,,0,,0,,0,,0,0,1,1,0,0,0,0,,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,03333 211 202
CRV,,0,,0,,0,,0,0,1,1,0,0,0,0,,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
CCC,,0,,0,,0,,0,0,0,0,0,0,0,0,,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,03333 211 202
CKY,,0,,0,,0,,0,1,1,1,0,0,0,0,,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
CMH,,0,,0,,0,,0,0,0,0,0,0,0,0,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
CWM,6:30 - 18:00,0,,0,8:00 - 18:00,0,,0,1,1,1,0,0,0,0,,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,03333 211 202
CYN,,0,,0,,0,,0,0,0,0,0,0,0,0,,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
DCT,,0,,0,,0,,0,0,1,1,0,0,0,0,,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
DGY,,0,,0,,0,,0,0,0,0,0,0,0,0,,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
DMG,,0,,0,,0,,0,0,0,0,0,0,0,0,,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,03333 211 202
DNS,,0,,0,,0,,0,0,1,1,0,0,0,0,,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
DGL,,0,,0,,0,,0,0,1,1,0,0,0,0,,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
DOL,,0,,0,,0,,0,0,0,0,0,0,0,0,,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
DLG,,0,,0,,0,,0,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,03333 211 202
DWD,,0,,0,,0,,0,0,0,0,0,0,0,0,,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,03333 211 202
DVY,,0,,0,,0,,0,0,0,0,0,0,0,0,,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,03333 211 202
DFP,,0,,0,,0,,0,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
DPS,,0,,0,,0,,0,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
DYF,,0,,0,,0,,0,0,0,0,0,0,0,0,,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,03333 211 202
EBK,,0,,0,,0,,0,0,1,1,0,0,0,0,,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
EBV,,0,,0,,0,,0,0,1,1,0,0,0,0,,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
EBB,,0,,0,,0,,0,0,1,1,0,0,0,0,,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
ECP,,0,,0,,0,,0,0,1,1,0,0,0,0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0333 005 0501
FRB,,0,,0,,0,,0,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
FRW,,0,,0,,0,,0,0,1,1,0,0,0,0,,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03333 211 202
